param,info,url,
URL,,https://www.cfr.org/article/funding-united-nations-what-impact-do-us-contributions-have-un-agencies-and-programs,
response,200,https://vallenato-media.cfr.org/vallenato/interactive/unga/index_bundle.js,
response,200,https://vallenato-media.cfr.org/vallenato/interactive/unga/main.css,
response,200,https://vallenato-media.cfr.org/vallenato/interactive/unga_total/index_bundle.js,
response,200,https://vallenato-media.cfr.org/vallenato/interactive/unga_total/main.css,
response,200,https://vallenato-media.cfr.org/vallenato/interactive/unga_percent/index_bundle.js,
response,200,https://vallenato-media.cfr.org/vallenato/interactive/unga_percent/main.css,
NO DATA,,https://vallenato-media.cfr.org/vallenato/interactive/unga/index_bundle.js,
NO DATA,,https://vallenato-media.cfr.org/vallenato/interactive/unga_total/index_bundle.js,
NO DATA,,https://vallenato-media.cfr.org/vallenato/interactive/unga_percent/index_bundle.js,
URL,,https://www.cfr.org/backgrounder/singapore-small-asian-heavyweight,
response,200,https://vallenato-media.cfr.org/vallenato/static/singapore_map/index_bundle.js,
response,200,https://vallenato-media.cfr.org/vallenato/static/singapore_map/main.css,
response,200,https://vallenato-media.cfr.org/vallenato/static/singapore_map/map-large.a5ecd6a.png,
response,200,https://vallenato-media.cfr.org/vallenato/static/singapore_map/map-small.0da6aac.png,
NO DATA,,https://vallenato-media.cfr.org/vallenato/static/singapore_map/index_bundle.js,
URL,,https://www.cfr.org/in-brief/australias-fires-will-rage-again-heres-how-government-can-prepare,
response,200,https://vallenato-media.cfr.org/vallenato/static/australia_fires/index_bundle.js,
response,200,https://vallenato-media.cfr.org/vallenato/static/australia_fires/main.css,
response,200,https://vallenato-media.cfr.org/vallenato/static/australia_fires/australia-large.856d880.jpg,
response,200,https://vallenato-media.cfr.org/vallenato/static/australia_fires/australia-small.7f6ed64.jpg,
NO DATA,,https://vallenato-media.cfr.org/vallenato/static/australia_fires/index_bundle.js,
URL,,https://www.cfr.org/article/field-guide-us-india-trade-tensions,
response,200,https://vallenato-media.cfr.org/vallenato/static/us_india_trade_time/index_bundle.js,
response,200,https://vallenato-media.cfr.org/vallenato/static/us_india_trade_time/main.css,
response,200,https://vallenato-media.cfr.org/vallenato/static/us_india_trade_breakdown/index_bundle.js,
response,200,https://vallenato-media.cfr.org/vallenato/static/us_india_trade_breakdown/main.css,
response,200,https://datawrapper.dwcdn.net/5y6Ax/11/,
response,200,https://datawrapper.dwcdn.net/oLF2S/9/,
response,200,https://datawrapper.dwcdn.net/b0FHG/5/,
width,644,https://vallenato-media.cfr.org/vallenato/static/us_india_trade_time/index_bundle.js,
width,1104,https://vallenato-media.cfr.org/vallenato/static/us_india_trade_time/index_bundle.js,
width,1283,https://vallenato-media.cfr.org/vallenato/static/us_india_trade_time/index_bundle.js,
width,181,https://vallenato-media.cfr.org/vallenato/static/us_india_trade_breakdown/index_bundle.js,
width,611,https://vallenato-media.cfr.org/vallenato/static/us_india_trade_breakdown/index_bundle.js,
width,754,https://vallenato-media.cfr.org/vallenato/static/us_india_trade_breakdown/index_bundle.js,
width,1264,https://datawrapper.dwcdn.net/5y6Ax/11/,
width,1224,https://datawrapper.dwcdn.net/oLF2S/9/,
width,1224,https://datawrapper.dwcdn.net/b0FHG/5/,
URL,,https://www.cfr.org/in-brief/what-would-us-kenya-trade-deal-mean,
response,200,https://vallenato-media.cfr.org/vallenato/static/kenya_chart/index_bundle.js,
response,200,https://vallenato-media.cfr.org/vallenato/static/kenya_chart/main.css,
response,200,https://vallenato-media.cfr.org/vallenato/static/kenya_chart/chart-large.fe93ab5.png,
