Alert_ID,lat,lng,diseases,place_name,country,date,cases,link,Type,summary
8728256,61.94614,93.57769,Measles,Russia,Russia,10/25/2025,9,https://openbelgorod.ru/news/medicine/2025-10-24/devyat-chelovek-zaboleli-koryu-s-nachala-2025-goda-473971,,"Since the beginning of 2025, there has been an increase in measles cases in the Belgorod region. The cases were imported from other regions and countries. The local health authorities are closely monitoring each case and vaccinating those who have come into contact with the infected individuals. Measles vaccinations are part of the national vaccination schedule, and there are no issues with vaccine availability in the region."
8728249,30.921,34.8651,Measles,"Tel Aviv, Tel Aviv District, Israel",Israel,10/24/2025,1,https://www.timesofisrael.com/liveblog_entry/patient-with-measles-flew-tel-aviv-krakow-round-trip-on-wizz-air-health-ministry-says/,,A person with measles traveled on a roundtrip flight between Tel Aviv and Krakow. The Health Ministry is advising passengers on those flights to check their vaccination status. Measles is a highly contagious disease that can cause serious complications.
8728253,61.94614,93.57769,Measles,"Moscow, Moscow Oblast, Russia",Russia,10/24/2025,18,https://168.ru/news/zdravoohranenie/v-ivanovskoj-oblasti-zaregistrirovana-vspyshka-kori?utm_source=yxnews&utm_medium=desktop&utm_referrer=https,,"An outbreak of measles has been confirmed in the Ivanovo region. The infected individuals, including adults, have been hospitalized. The outbreak is believed to be localized, with vaccinations administered to the entire population. The source of the infection is suspected to be visitors from other regions."
8728248,28,-15.5,Measles,"Las Palmas de Gran Canaria, Canary Islands, Spain",Spain,10/24/2025,8,https://www.lavozdelanzarote.com/en/news/people/canary-islands-raises-confirmed-measles-outbreak-cases-to-eight_238761_102.html,,An outbreak of measles in the Canary Islands has led to an increase in confirmed cases. The authorities are monitoring the situation and implementing protocols to control the spread of the disease. The Ministry of Health is emphasizing the importance of vaccination to prevent further transmission.
8728247,-42.4235,172.6594,Measles,New Zealand,New Zealand,10/24/2025,8,https://www.1news.co.nz/2025/10/24/measles-patient-zero-found-on-cook-strait-ferry-sailing/,,"Health officials in New Zealand have identified the source of a measles outbreak on a Cook Strait ferry. The initial case, or ""patient zero,"" has been traced back to a ferry sailing. Authorities are contacting passengers who may have been exposed and are warning of potential spread. The Ministry of Health is also urging travelers to get vaccinated before traveling overseas due to active measles outbreaks in popular destinations."
8728204,-36.98509979,145.0195007,Measles,"Victoria, Australia, Australia",Australia,10/23/2025,1,https://www.bay939.com.au/local-news/measles-exposure-sites-in-geelong/,,"The Department of Health has identified several locations in Greater Geelong where individuals may have been exposed to measles. People who visited these locations during specific times should monitor themselves for symptoms for up to 18 days after their visit. If symptoms develop, they should seek medical care and inform the health service about potential exposure. Those who are not fully vaccinated or are unsure of their vaccination status should contact their GP for advice on preventive treatment."
8728251,51.727,-86.7042,Hepatitis B,"Ontario, Canada",Canada,10/23/2025,0,https://www.kenoraminerandnews.com/news/hepatitis-possibly-detected-following-red-lake-dental-clinic-debacle,,"Following an investigation into improper sterilization practices at a dental clinic, patients were advised to undergo testing for several viruses including hepatitis B and C. Further testing is underway to clarify the results and determine the source of infection. Patients who received dental care at the clinic during the specified timeframe are encouraged to seek testing."
8728229,21.1,-76.9,Hepatitis A,"Las Tunas, Las Tunas Province, Cuba",Cuba,10/23/2025,0,https://en.cibercuba.com/noticias/2025-10-23-u1-e135253-s27061-nid313457-alerta-brote-hepatitis-escuelas-tunas,,"An outbreak of hepatitis A is occurring in schools in the Las Tunas province of Cuba. Health officials have confirmed the presence of the disease and are urging increased hygiene measures to prevent its spread. This announcement follows a denial of rumors about the outbreak and comes amid a broader healthcare crisis in the country, including a lack of resources and poor sanitation."
8728197,23.95046043,-102.5328903,Measles,"Mexico City, Mexico City, Mexico",Mexico,10/22/2025,5000,https://www.ejecentral.com.mx/nuestro-eje/sarampion-en-mexico-mas-de-5-mil-contagios-y-23-muertes-lista-de-estados-en-alerta#google_vignette,,"In 2025, Mexico is experiencing a significant measles outbreak, with the virus spreading across the country. The disease is particularly affecting young children who are not fully vaccinated. Health authorities are emphasizing the importance of vaccination, especially in rural areas and communities with limited access to healthcare. The outbreak has led to a concerning rise in cases, prompting the need for stronger vaccination campaigns and epidemiological surveillance. Mexico's situation is a major concern in the region, highlighting the need for increased efforts to control the spread of the disease."
8728182,-12.29528999,17.54467964,Polio,Angola,Angola,10/22/2025,12,https://polioeradication.org/about-polio/polio-this-week/,,This report provides an update on circulating vaccine-derived poliovirus type 2 (cVDPV2) in Angola. It notes a new case of cVDPV2 and summarizes the total number of cases reported in 2025 and 2024. The report also mentions the absence of positive environmental samples this week.
8728216,30.5,31,Chicken Pox,"Monufia Governorate, Egypt",Egypt,10/22/2025,24,https://www.almasryalyoum.com/news/details/3582127,,"Chickenpox cases have been identified among 24 students at a school in the Menoufia governorate. The situation is currently stable, with no new cases reported."
8728234,34.5002,-111.5,Measles,"Arizona, United States",United States,10/22/2025,123,https://www.nbcnews.com/health/health-news/measles-spreading-utah-arizona-outbreak-vaccines-rcna238757,,"A measles outbreak, originating in a community along the Utah-Arizona border, is expanding to nearby areas. The affected region has low vaccination rates, making it susceptible to outbreaks. Public health officials anticipated the outbreak due to these low rates. Nationally, childhood vaccination rates have declined, with a rise in exemptions for non-medical reasons. The current number of measles cases in the United States is the highest in over three decades."
8728208,23.95046,-102.533,Measles,"Mexico City, Mexico City, Mexico",Mexico,10/22/2025,5039,https://www.ejecentral.com.mx/nuestro-eje/sarampion-en-mexico-mas-de-5-mil-contagios-y-23-muertes-lista-de-estados-en-alerta#google_vignette,,"The Federal Ministry of Health confirmed that Mexico has exceeded 5000 cases of measles so far in 2025, as well as 23 deaths related to the disease. In 2025, Mexico is experiencing a significant measles outbreak, with infections reported across numerous states and municipalities. The disease is affecting both men and women, with a high incidence in young children. Health authorities are emphasizing the importance of vaccination, particularly in communities with limited access to medical services, to control the spread of the highly contagious and vaccine-preventable disease. The Pan American Health Organization (PAHO) has noted that Mexico has a high number of cases and related deaths in the Americas, attributing the outbreak to vaccination gaps and the introduction of the virus from within and outside the region. Public health officials are actively monitoring the situation and encouraging vaccination to combat the outbreak."
8728205,49.74285889,15.33841038,Hepatitis A,Czech Republic,Czech Republic,10/21/2025,887,https://www.aa.com.tr/en/europe/prague-sees-surge-in-hepatitis-a-cases-vaccine-shortage-reported/3722855,,"Hepatitis A cases are significantly increasing in Prague, with the city accounting for a large portion of the country's total cases. The demand for vaccines is high, potentially leading to temporary shortages, especially for children."
8728201,33.68769836,-80.59580231,Measles,"South Carolina, United States",United States,10/21/2025,23,https://www.southcarolinapublicradio.org/sc-news/2025-10-21/more-measles-cases-reported-in-south-carolina,,"Measles cases are increasing in South Carolina, prompting public health officials to emphasize the importance of vaccination. Despite the availability of free mobile vaccination clinics, uptake has been low. Officials are concerned about ongoing community spread and are working to identify the outbreak strain."
8728193,8.883333206,76.59999847,Chicken Pox,"Kollam, Kerala, India",India,10/21/2025,97,https://www.newindianexpress.com/states/kerala/2025/Oct/21/chickenpox-cases-surge-rapidly-in-kollam-alert-declared-in-district,,An alert has been declared in Kollam district due to a surge in chickenpox cases. Health officials attribute the rise to fluctuating climatic conditions. The disease is highly contagious and spreads through respiratory droplets and direct contact. Authorities are urging residents to take preventive measures and seek medical care. Vaccination drives and awareness campaigns have been initiated to contain the outbreak.
8728126,10.82326984,106.6297836,Respiratory Syncytial Virus,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Vietnam,10/21/2025,2,https://vnexpress.net/tre-nho-nhiem-virus-hop-bao-ho-hap-khi-chuyen-mua-4953786.html,,"Respiratory syncytial virus (RSV) infections are common in young children, particularly during seasonal changes. The virus can cause symptoms similar to a cold, but can be more severe in infants and those with underlying health conditions. Transmission occurs through close contact and contaminated surfaces. Prevention involves hygiene practices and, for high-risk children, monoclonal antibodies. Treatment focuses on supportive care."
8728143,-42.42348862,172.6593933,Measles,New Zealand,New Zealand,10/20/2025,1,https://www.rnz.co.nz/news/top/576455/new-measles-case-spent-hours-in-auckland-city-hospital-while-infectious,,"A new case of measles has been identified in Auckland. The infected individual was at Auckland City Hospital's emergency department for an extended period while contagious. Health officials are urging those who were at the hospital during the same time to verify their vaccination status and monitor for symptoms, although the risk of community spread is considered low."
8728113,36.87617111,6.909210205,Diphtheria,"Skikda, Skikda, Algeria",Algeria,10/20/2025,7,https://barlamantoday.com/2025/10/20/two-dead-as-diphtheria-outbreak-reported-in-eastern-algeria/,,"An outbreak of diphtheria has been confirmed in the Skikda province of Algeria. The disease, a highly contagious bacterial infection, can spread quickly, especially in the absence of vaccination. Diphtheria primarily affects the throat and nose, but can also impact the skin. It spreads through respiratory droplets and contaminated surfaces, and can lead to serious complications."
8728195,35.5,36.16667,Hepatitis A,"Latakia, Latakia Governorate, Syria",Syria,10/20/2025,33,https://bit.ly/3WmxU4H,,"Schools in a Syrian village were closed due to a hepatitis A outbreak. The closure followed a recommendation from a medical team sent by the Ministry of Health. The outbreak is believed to be linked to water contamination, with the primary sources of water being private wells and a municipal network. The health department is investigating the source of the contamination, including the potential impact of sewage systems and irrigation practices."
8728094,33.83880997,66.02646637,Polio,"Kabul, Kabul, Afghanistan",Afghanistan,10/19/2025,9,https://www.khaama.com/afghanistan-confirms-new-polio-case-in-uruzgan-as-2025-total-rises-to-nine/,,"In 2025, Afghanistan has confirmed a new case of poliovirus. Health officials have initiated a response to contain the outbreak, including an emergency vaccination drive. The ongoing conflict, cross-border movement, and limited access to remote areas continue to pose challenges to vaccination efforts. Public health officials are urging increased cooperation between Afghanistan and Pakistan to eradicate polio."
8728261,28.16324,2.63239,Diphtheria,Algeria,Algeria,10/18/2025,5,https://ara.tv/ehnmr,,"The Algerian Ministry of Health announced the confirmation of diphtheria cases in Skikda province, including two deaths. A crisis taskforce was established to monitor the situation and implement preventative measures. A vaccination campaign has been initiated, and authorities report the epidemiological situation is stable."
8728142,39.26620102,-116.7627029,Measles,"Nevada, United States",United States,10/17/2025,1,https://www.kiro7.com/news/local/measles-exposure-reported-sea-tac-airport/DF65HLH6QRD73FOMZU64XHCXKU/,,Public health officials in Washington and Nevada have issued warnings regarding potential measles exposures at two international airports. Individuals who were at the airports on specific dates are advised to review their vaccination status and seek medical advice if necessary. The warnings emphasize the contagious nature of measles and the importance of vaccination.
8728170,64.00019836,-150.0003052,Whooping Cough,"Alaska, United States",United States,10/16/2025,679,https://alaskabeacon.com/briefs/alaskas-whooping-cough-outbreak-infected-hundreds-with-infants-suffering-the-most/,,"Alaska experienced an outbreak of whooping cough, a highly contagious bacterial infection. The outbreak, which occurred over a year, has subsided. Vaccination was shown to provide significant protection against the disease. Health officials emphasized the importance of vaccination, particularly for expectant mothers to protect infants, who are most vulnerable to serious illness from the disease."
8728046,54.25,40.5,Chicken Pox,"Ryazan, Ryazan Oblast, Russia",Russia,10/16/2025,77,https://www.ryazan.kp.ru/online/news/6623444,,"Reports indicate an increase in chickenpox cases in several regions. The disease is spreading, particularly among children in schools and kindergartens, as well as those caring for the sick. Public health officials note that this rise is part of a cyclical pattern and recommend preventative measures such as hygiene practices, cleaning and ventilation of spaces, and avoiding contact with infected individuals. Vaccination is also highlighted as a key preventative measure, especially for at-risk groups."
8728100,-10.77311039,-53.08982086,Measles,Brazil,Brazil,10/14/2025,34,https://agenciabrasil.ebc.com.br/saude/noticia/2025-10/brasil-registra-34-casos-de-sarampo-ministerio-da-saude-emite-alerta,,"The Brazilian Ministry of Health has issued an alert due to confirmed cases of measles. The alert urges states and municipalities to increase surveillance and preventative measures. The Ministry is concerned about preventing the reintroduction of the virus. The cases are linked to individuals who either traveled abroad or had contact with infected individuals. Vaccination rates have decreased, increasing the risk of further spread, and the Ministry is emphasizing the importance of vaccination."
8728017,20.25984955,-10.33230019,Diphtheria,"Nouakchott, Nouakchott, Mauritania",Mauritania,10/14/2025,97,https://pointschauds.info/mauritanie-assaba-deux-epidemies-meurtrieres-sous-silence-la-population-livree-a-elle-meme/,,"The Assaba region is experiencing a health crisis due to two concurrent epidemics. The lack of official communication from local authorities has fueled public frustration and fear. Residents feel abandoned, as they are left without clear information or support, hindering prevention efforts and allowing misinformation to spread. Overwhelmed health facilities and a lack of guidance have led to a situation where silence is perceived as a significant threat."
8728045,61.94614029,93.57769012,Chicken Pox,"Moscow, Moscow Oblast, Russia",Russia,10/13/2025,16500,https://www.forumfreerussia.org/en/news-en/2025-10-13/chickenpox-cases-surge-in-russia-amid-vaccine-shortage,,"Chickenpox cases have significantly increased in Russia since the beginning of 2025. This surge in infections is occurring during a shortage of the chickenpox vaccine, which is not produced domestically and is in limited supply. The shortage may be due to logistical issues or insufficient funding for regional vaccine purchases. Despite the vaccine shortage, some parents are intentionally exposing their children to the virus, a practice that experts consider dangerous due to the unpredictable nature of the illness and the risk of spreading it to vulnerable individuals."
8728006,33.68769836,-80.59580231,Measles,"South Carolina, United States",United States,10/13/2025,153,https://www.upi.com/Health_News/2025/10/13/SC-153-unaccinated-students-quaranteed-measles-exposure/1311760374950/#google_vignette,,"Measles outbreaks have led to quarantines for unvaccinated students in South Carolina. The outbreaks are part of a larger national trend, with the number of cases being the highest in decades. The disease is highly contagious, and vaccination rates have decreased, creating opportunities for the disease to spread."
8727975,32.30397034,69.68206787,Measles,"South Waziristan, Federally Administered Tribal Areas, Pakistan",Pakistan,10/13/2025,850,https://www.punjabnewsexpress.com/news/news/sharp-rise-in-measles-cases-in-pakistan-sparks-health-concerns-301399,,"Measles cases have significantly increased in Pakistan's Lower South Waziristan region, causing public health concerns. Health officials attribute the rise to low vaccination rates and vaccine hesitancy, particularly in remote areas. They are facing challenges due to vaccine refusal and community resistance."
8727979,-5,-75,Whooping Cough,"Loreto, Loreto, Peru",Peru,10/13/2025,2144,https://www.infobae.com/peru/2025/10/12/la-enfermedad-que-parece-olvidada-por-el-peru-tos-ferina-sigue-arrasando-comunidades-indigenas-en-loreto/,,"A respiratory illness, once thought to be under control, has resurfaced in the Loreto region, particularly affecting indigenous communities where access to medical care is limited. Despite reports of widespread illness and deaths, local leaders and organizations claim the official figures are underestimated. They report that medical teams are not providing adequate care, including insufficient vaccinations and medication, and are not staying long enough in the affected areas. The lack of resources, including medical personnel and supplies, is a major concern. Despite the severity of the situation, the government has not declared a health emergency, and indigenous groups are calling for immediate action and intervention."
8727983,-5,-75,Whooping Cough,"Loreto, Loreto, Peru",Peru,10/12/2025,2144,https://www.infobae.com/peru/2025/10/12/la-enfermedad-que-parece-olvidada-por-el-peru-tos-ferina-sigue-arrasando-comunidades-indigenas-en-loreto/,,"Whooping cough is experiencing a resurgence in indigenous communities in the Loreto region, causing significant loss of life. The disease is particularly affecting communities where access to medical care is limited. Despite the severity of the outbreak, including a high number of cases and deaths, a health emergency has not been declared. Indigenous organizations are reporting that the situation is dire, with children staying home from school due to illness and fear of infection. Contributing factors to the outbreak include a lack of resources, such as staff, medicine, and proper vaccine storage, creating conditions for the disease to spread."
8727938,15.75,32.5,Diphtheria,"Khartoum, Khartoum, Sudan",Sudan,10/10/2025,15,https://sudantribune.com/article/305893,,"A diphtheria outbreak has occurred in Khartoum, Sudan. The Sudan Doctors Syndicate reported the outbreak and urged families to ensure their children are vaccinated and to practice good hygiene. They also advised anyone with symptoms to seek immediate medical attention and called for increased public awareness and international aid."
8727911,31.75,35,Measles,"Jerusalem, Jerusalem District, Israel",Israel,10/9/2025,19,https://www.timesofisrael.com/liveblog_entry/unvaccinated-baby-from-jerusalem-dies-of-measles-health-ministry-says/,,"An unvaccinated one-year-old child in Jerusalem died from measles, which is the seventh death in the current outbreak. The Health Ministry recommends that unvaccinated individuals and parents of infants who have received one vaccine avoid large events in outbreak areas due to the risk of infection."
8727913,31.24090004,121.464798,Respiratory Syncytial Virus,"Shanghai, China",China,10/9/2025,16452,https://m.secretchina.com/news/gb/2025/10/09/1089159.html,,"An outbreak of respiratory syncytial virus (RSV) is occurring in Shanghai, leading to increased visits to pediatric hospitals. The virus is highly contagious, with entire families being infected. Symptoms include fever, cough, and asthma, with some children requiring intensive care. The situation has caused concern among parents and the public, with warnings about the severity of the virus."
8727878,-26.51000023,122.1240005,Measles,"Western Australia, Australia",Australia,10/9/2025,47,https://www.news.com.au/lifestyle/health/health-problems/wa-health-issues-urgent-warning-measles-outbreak-alert-after-47-cases-detected/news-story/d09370cc98502f3161257e91c0b979e6,,"A measles outbreak is occurring in Western Australia, prompting health authorities to issue a warning. The disease is highly contagious and can spread through the air. People who are not immune and visited exposure sites should monitor for symptoms."
8727882,9.593959808,8.10531044,Polio,"Abuja, Federal Capital Territory, Nigeria",Nigeria,10/9/2025,35,https://www.healthandme.com/health-news/polio-cases-reported-in-pakistan-and-nigeria-more-details-inside-article-152947350,,"Despite Nigeria being declared polio-free in 2020, new cases continue to emerge. Pakistan has also reported new cases. Vaccination campaigns are being conducted to reduce the spread of the disease. While polio cases have decreased significantly due to global efforts, the virus remains a threat in certain regions. Vaccination is the primary method of prevention."
8727931,28.14949989,-81.65039825,Whooping Cough,"Florida, United States",United States,10/8/2025,1295,https://www.tallahassee.com/story/news/local/state/2025/10/08/florida-sees-sharp-rise-in-whooping-cough-infections/86551849007/,,"Whooping cough cases in Florida have significantly increased. Pediatricians are concerned about the rise, particularly for vulnerable children, and are worried about the potential impact of the state's plans to repeal vaccine mandates. They are considering establishing their own alert system to monitor and respond to outbreaks."
8727881,55.00279999,-96.98739624,Measles,"Manitoba, Canada",Canada,10/8/2025,225,https://www.cbc.ca/news/canada/manitoba/health-measles-update-9.6932275,,"Manitoba health officials have reported additional confirmed cases of measles. Public health is warning that individuals may have been exposed to the disease at several locations in southern Manitoba. Measles is highly contagious and spreads through airborne droplets. Symptoms include fever, runny nose, red eyes, and a skin rash. The province is encouraging people to monitor for symptoms and ensure their vaccinations are up to date."
8727858,14.49302006,-4.194200039,Diphtheria,"Mopti, Mopti, Mali",Mali,10/8/2025,196,https://bamada.net/mali-les-autorites-rassurent-face-aux-cas-de-diphterie,,"Mali authorities are responding to a recent outbreak of diphtheria. A vaccination campaign has been launched to contain the spread of the disease, which primarily affects unvaccinated or incompletely vaccinated children. Health officials are working to strengthen surveillance and are urging the public to take preventative measures and seek medical attention if needed."
8728231,49.74286,15.33841,Hepatitis A,Czech Republic,Czech Republic,10/8/2025,1776,https://www.praguedaily.news/2025/10/08/hepatitis-a-cases-in-the-czech-republic-continue-to-rise-already-at-the-highest-level-in-almost-30-years/,,"Hepatitis A cases are surging in the Czech Republic, reaching levels not seen in nearly three decades, with Prague experiencing a local epidemic. Experts are warning of further increases and emphasizing the importance of hygiene and vaccination. The disease is linked to poor hygiene, and those with weakened immune systems or existing liver disease are at higher risk. Public health measures, including increased cleaning and vaccination efforts, are being implemented."
8727886,20.25984955,-10.33230019,Diphtheria,"Nouakchott, Nouakchott, Mauritania",Mauritania,10/6/2025,202,https://share.google/oFUqIrmzuO6RckMKE,,"Mauritania is experiencing an outbreak of diphtheria in its southeastern regions. The Health Ministry has reported fatalities and new infections. Response teams have been sent to the affected areas, and surveillance has been increased. Authorities have recommended postponing the start of the school year in the affected areas. Diphtheria is a contagious bacterial infection."
8727824,42,2,Measles,"Catalonia, Spain",Spain,10/6/2025,8,https://en.ara.cat/society/measles-outbreak-in-an-anti-vaccine-family-has-put-hundred-people-alert-in-garraf_1_5520073.html,,"An active measles outbreak in the Garraf region has prompted health authorities to investigate potential spread. The outbreak originated within a family with unvaccinated individuals, leading to a high number of contacts in various settings. Authorities are monitoring the situation, as the risk of further transmission is considered high due to the mobility of those affected. The increase in cases is part of a larger trend seen across Europe, with experts emphasizing the need for increased vaccination efforts."
8727805,19,-7.25,Diphtheria,"Néma, Hodh ech Chargui, Mauritania",Mauritania,10/6/2025,202,https://www.aa.com.tr/en/health/mauritania-reports-15-diphtheria-deaths-202-new-cases-amid-outbreak-in-southeast/3709063,,"In October 2025, Mauritania reported deaths and new infections due to a diphtheria outbreak in the southeastern part of the country. The Ministry of Health stated that the situation was under control, with rapid response teams deployed and surveillance measures increased. Authorities recommended postponing the start of the school year in affected areas. Diphtheria is a contagious bacterial infection. Mauritania had previously recorded cases in 2023 and 2024."
8727788,29.96702003,69.38597107,Polio,"Islamabad, Islamabad Capital Territory, Pakistan",Pakistan,10/5/2025,3,https://polioeradication.org/about-polio/polio-this-week,,"In Pakistan, three cases of WPV1 have been detected.This report provides an update on the global status of polio, highlighting new cases and environmental detections of the virus. It details the locations where the virus has been identified and notes the types of polio viruses found. The report also compares current case numbers to those of the previous year."
8727764,-16.25505066,167.7181549,Whooping Cough,Vanuatu,Vanuatu,10/3/2025,270,https://www.dailypost.vu/news/270-suspected-whooping-cough-cases/article_4e8bcb95-819e-5d48-8499-7268f00b7ca9.html,,"The Ministry of Health is responding to a suspected outbreak of whooping cough on Tanna Island. The Ministry has activated emergency response centers and deployed medical teams to support local health workers. Efforts include strengthening surveillance, treatment, and community engagement. The Ministry is working with partners to raise public awareness and promote immunization, including distributing educational materials and offering vaccination services. The Ministry urges parents to vaccinate their children, practice good hygiene, and seek medical attention for symptoms. Whooping cough is a contagious respiratory disease, and vaccination is the most effective preventive measure."
8727767,-33.87049866,151.2158051,Measles,"Sydney, New South Wales, Australia",Australia,10/2/2025,1,https://www.9news.com.au/health/measles-case-sydney-northern-beaches/9b4045e9-421e-4557-88e2-ea8548b72388,,"A measles case has been confirmed in Sydney's northern beaches area. Individuals who visited specific locations in Dee Why and Manly during late September are advised to monitor for symptoms. Health officials emphasize the importance of staying up-to-date with vaccinations, as the measles vaccine can prevent the disease even after exposure if administered promptly."
8727739,20.25984955,-10.33230019,Diphtheria,"Nouakchott, Nouakchott, Mauritania",Mauritania,10/2/2025,74,https://saharamedias.net/249386/,,"The Mauritanian Ministry of Health reported an outbreak of diphtheria in the southern regions of Hodh El Gharbi and Assaba. The Minister of Health announced that a number of cases have been identified, with some patients recovering and others receiving treatment."
